Generations	Gene	k_i	C_i
5250	ECB_01992	8	1.0
5250	acpP	14	1.0
5250	appC	9	1.0
5250	arcA	11	1.0
5250	cycA	14	1.0
5250	fabF	15	0.666666666667
5250	flgB	9	1.0
5250	hokB	20	0.657894736842
5250	hokD	14	1.0
5250	hslU	40	0.329487179487
5250	iclR	15	0.666666666667
5250	infC	15	0.733333333333
5250	malT	14	1.0
5250	mokC	14	1.0
5250	mreB	19	0.543859649123
5250	mreC	11	1.0
5250	nadR	31	0.423655913978
5250	oppD	11	1.0
5250	phoH	14	1.0
5250	prlA	11	1.0
5250	pykF	40	0.329487179487
5250	rbsA	9	1.0
5250	rbsB	8	1.0
5250	rbsD	9	1.0
5250	rbsR	9	1.0
5250	rplF	9	1.0
5250	rpsA	9	1.0
5250	rpsC	9	1.0
5250	spoT	20	0.563157894737
5250	trkH	9	1.0
5250	ybaL	16	0.625
5250	ybeB	20	0.657894736842
5250	ycdM	9	1.0
5250	yeeR	14	1.0
5250	yeeU	14	1.0
5250	yfaQ	9	1.0
5250	yfcTU	14	1.0
5250	ygjD	11	1.0
5250	yhdG	14	0.67032967033
5250	yieO	22	0.619047619048
5250	ylcG	11	1.0
1750	ECB_01992	6	1.0
1750	acpP	8	1.0
1750	appC	4	1.0
1750	cycA	8	1.0
1750	fabF	4	1.0
1750	flgB	4	1.0
1750	hokB	8	1.0
1750	hslU	10	0.777777777778
1750	infC	6	1.0
1750	mokC	8	1.0
1750	mreB	11	0.472727272727
1750	mreC	5	1.0
1750	nadR	10	0.777777777778
1750	prlA	5	1.0
1750	pykF	23	0.252964426877
1750	rbsB	6	1.0
1750	rbsD	4	1.0
1750	rbsR	3	1.0
1750	spoT	8	0.714285714286
1750	trkH	4	1.0
1750	ybeB	10	0.688888888889
1750	yfaQ	3	1.0
1750	yhdG	6	1.0
1750	yieO	10	0.777777777778
9250	ECB_00737	21	1.0
9250	ECB_01992	16	1.0
9250	ECB_02816	19	1.0
9250	ECB_03722	16	1.0
9250	acpP	21	1.0
9250	appC	16	1.0
9250	arcA	46	0.474396135266
9250	cycA	21	1.0
9250	envZ	19	1.0
9250	fabF	19	0.666666666667
9250	flgB	16	1.0
9250	hokB	30	0.659770114943
9250	hokD	21	1.0
9250	hslU	65	0.326442307692
9250	hupB	21	1.0
9250	hyfA	13	1.0
9250	iap	19	1.0
9250	iclR	40	0.437179487179
9250	infB	26	0.624615384615
9250	infC	30	0.655172413793
9250	malT	35	0.623529411765
9250	metH	30	0.655172413793
9250	mokC	30	0.659770114943
9250	mreB	32	0.538306451613
9250	mreC	19	1.0
9250	nadR	55	0.4
9250	oppD	19	1.0
9250	phoH	21	1.0
9250	prlA	19	1.0
9250	pykF	65	0.326442307692
9250	rbsA	16	1.0
9250	rbsB	16	1.0
9250	rbsD	9	1.0
9250	rbsR	13	1.0
9250	rfbB	19	1.0
9250	rne	13	1.0
9250	rplF	9	1.0
9250	rpsA	16	1.0
9250	rpsC	9	1.0
9250	sapF	16	1.0
9250	speG	16	1.0
9250	spoT	39	0.519568151147
9250	thrA	16	1.0
9250	trkH	9	1.0
9250	wzy	16	1.0
9250	ybaE	16	1.0
9250	ybaL	26	0.630769230769
9250	ybbN	21	1.0
9250	ybeB	30	0.659770114943
9250	ybhP	16	1.0
9250	ycdM	13	1.0
9250	yceK	16	1.0
9250	ycfC	21	1.0
9250	yebY	21	1.0
9250	yecE	21	1.0
9250	yeeR	21	1.0
9250	yeeU	21	1.0
9250	yfaQ	13	1.0
9250	yfcTU	21	1.0
9250	yggM	19	1.0
9250	ygjD	19	1.0
9250	yhdG	35	0.531092436975
9250	yieO	35	0.623529411765
9250	yihP	16	1.0
9250	ylcG	19	1.0
9250	yqeB	16	1.0
17250	ECB_00737	36	1.0
17250	ECB_01992	27	1.0
17250	ECB_02797	23	1.0
17250	ECB_02816	46	0.642512077295
17250	ECB_02852	23	1.0
17250	ECB_03710	36	1.0
17250	ECB_03722	27	1.0
17250	acpP	36	1.0
17250	acs	46	0.642512077295
17250	appC	23	1.0
17250	arcA	71	0.47444668008
17250	blr	23	1.0
17250	cls	23	1.0
17250	cpsG	27	1.0
17250	cycA	36	1.0
17250	envZ	26	1.0
17250	fabF	30	0.714942528736
17250	flgB	23	1.0
17250	flu	36	1.0
17250	galF	11	1.0
