	ECB_00737	ECB_01992	ECB_02797	ECB_02816	ECB_02852	ECB_03710	ECB_03722	acpP	acs	appC	arcA	blr	cls	cpsG	cycA	envZ	fabF	flgB	galF	hokB	hokD	hsdS	hslU	hupB	hyfA	iap	iclR	ilvL	infB	infC	lon	lrp	malT	menC	metH	mntH	mokC	mreB	mreC	nadR	narZ	nudC	oppD	phoH	plsB	prlA	proX	pykF	rbsA	rbsB	rbsD	rbsR	recO	rfbB	rnb	rne	rpiR	rplF	rpsA	rpsC	sapF	speG	spoT	thiI	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybeM	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeF	yeeR	yeeU	yegO	yfaQ	yfcTU	yggM	yghS	ygjD	ygjG	yhdG	yhdJ	yieO	yihP	yjcE	yjeB	yjiX	yjjY	ylcG	yqeB	yqhH
ECB_00737	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
ECB_01992	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0
ECB_02797	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
ECB_02816	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	1	2	0	0	1	1	1	1	0	1	1	2	1	1	1	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	1	0	1	0	0	1	1	0	0
ECB_02852	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ECB_03710	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
ECB_03722	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0
acpP	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
acs	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0
appC	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
arcA	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	3	1	0	1	2	1	0	1	1	1	2	1	2	0	1	1	1	3	1	0	1	1	0	1	1	3	1	0	0	0	1	1	1	0	1	0	1	0	0	1	2	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	2	1	2	1	0	1	0	0	1	1	1
blr	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
cls	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
cpsG	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0
cycA	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
envZ	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0
fabF	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	2	2	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
flgB	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
galF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hokB	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	2	1	1	0	2	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1
hokD	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
hsdS	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
hslU	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	5	1	2	2	1	1	2	1	2	1	2	3	1	4	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	1	1	1	1	1
hupB	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
hyfA	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
iap	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0
iclR	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	0	2	1	1	2	1	2	5	1	1	0	1	1	2	1	1	1	1	0	1	1	2	3	0	3	0	1	0	1	1	0	1	5	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	3	1	1	1	1	1	1	1	0	1	1
ilvL	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
infB	0	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	2	0	1	0	2	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	2	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0
infC	0	1	0	2	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	2	1	1	1	0	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	1	0	1	0	0	1	1	0	0
lon	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
lrp	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
malT	1	0	0	1	0	1	0	1	1	0	2	0	0	0	1	1	0	0	0	1	1	0	2	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	2	1	0	1	1	0	1	1	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	2	0	2	0	0	1	0	0	1	0	1
menC	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0
metH	0	0	1	1	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	2	1	0	1	0	0	1	0	2	1	0	0	0	1	1	1	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0
mntH	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0
mokC	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	2	1	1	2	1	1	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1
mreB	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	3	0	0	0	3	1	1	1	1	1	0	0	1	1	0	1	0	2	0	1	0	0	0	0	0	3	1	1	1	0	0	0	1	0	0	1	1	1	1	1	2	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	1	0	1	0
