	ECB_01992	acpP	appC	cycA	fabF	flgB	hokB	hslU	infC	mokC	mreB	mreC	nadR	prlA	pykF	rbsB	rbsD	rbsR	spoT	trkH	ybeB	yfaQ	yhdG	yieO
ECB_01992	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0
acpP	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1
appC	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
cycA	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1
fabF	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
flgB	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
hokB	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1
hslU	0	1	0	1	0	0	1	1	0	1	0	1	2	1	2	0	0	0	0	0	1	0	0	2
infC	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0
mokC	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1
mreB	1	0	1	0	1	1	0	0	1	0	1	0	0	0	3	1	1	0	2	1	0	0	1	0
mreC	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
nadR	0	1	0	1	0	0	1	2	0	1	0	1	1	1	2	0	0	0	0	0	1	0	0	2
prlA	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
pykF	1	1	1	1	1	1	1	2	1	1	3	1	2	1	1	1	1	1	2	1	2	1	1	2
rbsB	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0
rbsD	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
rbsR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0
spoT	1	0	1	0	0	1	0	0	1	0	2	0	0	0	2	1	0	0	1	0	0	0	1	0
trkH	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
ybeB	0	1	0	1	0	0	1	1	0	1	0	0	1	0	2	0	0	1	0	0	1	1	0	1
yfaQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0
yhdG	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0
yieO	0	1	0	1	0	0	1	2	0	1	0	1	2	1	2	0	0	0	0	0	1	0	0	1
