	ECB_00737	ECB_01992	ECB_02012	ECB_02797	ECB_02816	ECB_02852	ECB_03710	ECB_03722	acpP	acs	appC	appY	arcA	blr	cirA	cls	cpsG	cpxR	cusR	cycA	envZ	fabF	flgB	flu	galF	gltA	gmhB	hokB	hokD	hpaX	hsdS	hslU	hupB	hyfA	iap	iclR	ilvL	infB	infC	lacZ	lon	lrp	malT	menC	metH	metJ	mntH	mokC	mreB	mreC	mtlD	nadR	narZ	nudC	oppD	pbpC	pflB	phoH	phoR	plsB	prlA	proX	pykA	pykF	rbsA	rbsB	rbsD	rbsR	recO	rfbB	rnb	rne	rpiR	rplF	rpsA	rpsC	sapA	sapF	speG	spoT	thiI	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybcU	ybeB	ybeM	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeF	yeeI	yeeR	yeeU	yegO	yfaQ	yfcTU	yggM	yghS	ygjD	ygjG	yhdG	yhdJ	yicL	yieO	yihP	yjcE	yjeB	yjgM	yjgN	yjiX	yjjY	ylcG	yoaE	yqeB	yqhH	yrbA
ECB_00737	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
ECB_01992	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ECB_02012	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
ECB_02797	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
ECB_02816	0	1	1	0	1	0	0	1	0	2	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	1	2	0	0	0	1	1	1	0	1	1	1	1	0	2	1	1	1	1	0	0	1	0	1	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0
ECB_02852	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ECB_03710	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
ECB_03722	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
acpP	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
acs	0	1	1	0	2	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	1	2	0	0	0	1	1	1	0	1	1	1	1	0	2	1	1	1	1	0	0	1	0	1	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0
