	ECB_01992	acpP	appC	cycA	fabF	flgB	hokB	hokD	hslU	iclR	infC	malT	mokC	mreB	mreC	nadR	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rplF	rpsA	spoT	trkH	ybaL	ybeB	yfaQ	yfcTU	yhdG	yieO
ECB_01992	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
acpP	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
appC	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0
cycA	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
fabF	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	2	0	0	1	1	1	0	0	1	1	1	1	0	1	0
flgB	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0
hokB	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
hokD	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
hslU	1	1	1	1	2	1	1	1	1	2	1	1	1	3	1	3	1	1	6	1	1	1	1	1	1	2	1	2	2	1	1	2	2
iclR	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	1	1	0	0	1	1	1	1	0	1	0
infC	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
malT	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
mokC	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
mreB	1	0	1	0	1	1	0	0	3	1	1	0	0	1	0	1	0	0	3	1	1	1	0	1	1	2	1	1	0	0	0	2	0
mreC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
nadR	1	1	0	1	0	0	1	1	3	0	1	1	1	1	1	1	1	1	3	0	1	0	0	0	0	1	0	0	1	0	1	1	2
phoH	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
prlA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
pykF	1	1	1	1	2	1	1	1	6	2	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2
rbsA	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0
rbsB	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
rbsD	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0
rbsR	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0
rplF	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0
rpsA	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0
spoT	1	0	1	0	0	1	0	0	2	0	1	0	0	2	0	1	0	0	2	1	1	0	0	0	1	1	0	1	0	0	0	1	0
trkH	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0
ybaL	0	0	1	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	1	0	1	1	1	0	0	0
ybeB	0	1	0	1	1	0	1	1	2	1	0	1	1	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	1	1	1	0	1
yfaQ	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0
yfcTU	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1
yhdG	1	0	0	0	1	0	0	0	2	1	1	0	0	2	0	1	0	0	2	0	1	1	0	1	0	1	1	0	0	0	0	1	0
yieO	0	1	0	1	0	0	1	1	2	0	0	1	1	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1
