	ECB_01992	ECB_03722	acpP	appC	arcA	cycA	fabF	flgB	hokB	hokD	hslU	iap	iclR	infB	infC	malT	metH	mokC	mreB	mreC	nadR	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rplF	rpsA	rpsC	sapF	speG	spoT	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybhP	ycdM	yceK	ycfC	yecE	yeeR	yeeU	yfaQ	yfcTU	yggM	ygjD	yhdG	yieO	yihP	ylcG
ECB_01992	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ECB_03722	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
acpP	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
appC	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
arcA	0	0	1	1	1	1	0	1	1	1	3	1	0	0	1	2	2	1	1	1	3	1	1	1	3	1	0	0	0	0	1	0	0	1	2	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	2	1	1
cycA	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
fabF	0	0	0	0	0	0	1	0	1	0	2	0	2	1	0	0	0	1	1	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
flgB	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hokB	0	0	1	0	1	1	1	0	1	1	2	0	1	1	0	1	0	2	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0
hokD	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
