	ECB_00737	ECB_01992	ECB_02816	ECB_03722	acpP	appC	arcA	cycA	envZ	fabF	flgB	hokB	hokD	hslU	hupB	hyfA	iap	iclR	infB	infC	malT	metH	mokC	mreB	mreC	nadR	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rfbB	rne	rplF	rpsA	rpsC	sapF	speG	spoT	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeR	yeeU	yfaQ	yfcTU	yggM	ygjD	yhdG	yieO	yihP	ylcG	yqeB
ECB_00737	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
ECB_01992	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ECB_02816	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
ECB_03722	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
acpP	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
appC	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
arcA	1	0	1	0	1	1	1	1	1	0	1	1	1	3	1	0	1	1	0	1	2	2	1	1	1	3	1	1	1	3	1	0	0	0	1	0	0	1	0	0	1	2	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	2	1	1	1
cycA	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
envZ	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
fabF	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	2	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
flgB	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hokB	1	0	0	0	1	0	1	1	0	1	0	1	1	2	1	1	0	1	1	0	1	0	2	0	0	1	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0
hokD	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
hslU	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	1	4	2	2	2	2	2	3	1	4	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1
hupB	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
hyfA	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
iap	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
iclR	0	1	0	1	0	1	1	0	0	2	1	1	0	4	0	1	0	1	2	1	0	1	1	3	0	2	0	0	0	4	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	2	0	1	1	1	1	0	0	0	0	0	1	0	0	0	2	0	1	0	1
infB	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	1	0	2	1	1	0	0	1	1	0	1	0	0	0	2	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
infC	0	1	1	1	0	0	1	0	1	0	0	0	0	2	0	0	1	1	1	1	1	1	0	1	1	2	1	0	1	2	0	1	0	0	1	0	0	0	0	1	0	2	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	1	0	1	0
malT	1	0	1	0	1	0	2	1	1	0	0	1	1	2	1	0	1	0	0	1	1	1	1	0	1	2	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	2	0	1	0
metH	0	0	1	0	0	1	2	0	1	0	1	0	0	2	0	0	1	1	0	1	1	1	0	1	1	2	1	0	1	2	1	0	0	0	1	0	0	1	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
mokC	1	0	0	0	1	0	1	1	0	1	0	2	1	2	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0
mreB	0	1	0	1	0	1	1	0	0	1	1	0	0	3	0	0	0	3	1	1	0	1	0	1	0	2	0	0	0	3	1	1	1	0	0	0	1	1	1	1	1	2	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1
mreC	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
nadR	1	1	1	1	1	1	3	1	1	0	1	1	1	4	1	0	1	2	1	2	2	2	1	2	1	1	1	1	1	4	1	1	0	0	1	0	0	1	0	1	1	3	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	2	2	1	1	1
oppD	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
phoH	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
prlA	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
pykF	1	1	1	1	1	1	3	1	1	2	1	2	1	6	1	1	1	4	2	2	2	2	2	3	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1
rbsA	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
rbsB	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
rbsD	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
rbsR	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
