"ECB_01992"	"fabF"	"hokB"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsB"	"rbsD"	"rbsR"	"spoT"	"trkH"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"ECB_01992"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fabF"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hokB"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"nadR"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"prlA"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"pykF"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"rbsB"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"rbsD"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"rbsR"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"spoT"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"trkH"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ybeB"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"yieO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
